pack,category,object,in_codex
"Emergence-GLB","characters","villager-child-f-walk.glb",no
"Emergence-GLB","characters","villager-child-f.glb",no
"Emergence-GLB","characters","villager-child-walk.glb",no
"Emergence-GLB","characters","villager-child.glb",no
"Emergence-GLB","characters","villager-elder-f-walk.glb",no
"Emergence-GLB","characters","villager-elder-f.glb",no
"Emergence-GLB","characters","villager-elder-walk.glb",no
"Emergence-GLB","characters","villager-elder.glb",no
"Emergence-GLB","characters","villager-f-walk.glb",no
"Emergence-GLB","characters","villager-f-work.glb",no
"Emergence-GLB","characters","villager-f.glb",no
"Emergence-GLB","characters","villager-walk.glb",no
"Emergence-GLB","characters","villager-work.glb",no
"Emergence-GLB","characters","villager.glb",no
"Emergence-GLB","nature","deer.glb",no
"Emergence-GLB","nature","wolf.glb",no
"Emergence-GLB","tech","forge.glb",no
"Emergence-GLB","tech","kiln.glb",no
"Emergence-GLB","tech","mill.glb",yes
"Emergence-GLB","tech","well.glb",no
"Fantastic Village Pack","FX","P_FX_fire",no
"Fantastic Village Pack","FX","P_FX_steam_big_FVP",no
"Fantastic Village Pack","FX","P_FX_steam_small_FVP",no
"Fantastic Village Pack","FX","P_FX_water_FVP",no
"Fantastic Village Pack","FX","P_FX_wind_trail",no
"Fantastic Village Pack","buildings","P_BLD_house_01",no
"Fantastic Village Pack","buildings","P_BLD_house_02",no
"Fantastic Village Pack","buildings","P_BLD_house_03",no
"Fantastic Village Pack","buildings","P_BLD_house_04",no
"Fantastic Village Pack","buildings","P_BLD_house_05",no
"Fantastic Village Pack","buildings","P_BLD_house_06",no
"Fantastic Village Pack","buildings","P_BLD_house_07",no
"Fantastic Village Pack","buildings","P_BLD_house_08",no
"Fantastic Village Pack","buildings","P_BLD_house_09",no
"Fantastic Village Pack","buildings","P_BLD_house_10",no
"Fantastic Village Pack","buildings","P_BLD_house_11",no
"Fantastic Village Pack","buildings","P_BLD_house_12",no
"Fantastic Village Pack","buildings","P_BLD_house_13",no
"Fantastic Village Pack","buildings","P_BLD_house_14",no
"Fantastic Village Pack","buildings_modules","P_BLD_balcony_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_balcony_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_base_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_base_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_base_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_base_v04_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_base_v04_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_base_v05_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v01_v2",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v02_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v03_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_big_v03_03",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v01_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v02_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v03_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v04_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v04_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v05_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v05_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v06_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v06_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v06_03",no
"Fantastic Village Pack","buildings_modules","P_BLD_beam_small_v07_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_add_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_add_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_add_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_add_v04_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v01_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v02_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v03_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v04_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v04_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v05_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v05_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v06_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v06_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v07_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_body_v07_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_chimney_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_chimney_v01_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_chimney_v01_03",no
"Fantastic Village Pack","buildings_modules","P_BLD_chimney_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_chimney_v02_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_chimney_v02_03",no
"Fantastic Village Pack","buildings_modules","P_BLD_door_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_door_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_door_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_door_v04_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v02_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v03_v1",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v03_v2",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v04_v1",no
"Fantastic Village Pack","buildings_modules","P_BLD_stairs_v04_v2",no
"Fantastic Village Pack","buildings_modules","P_BLD_waterwheel",no
"Fantastic Village Pack","buildings_modules","P_BLD_windmill_sail",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v01_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v02_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v03_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v04_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v05_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v06_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v06_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v07_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v07_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v08_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v08_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v08_03",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v08_04",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v09_01",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v09_02",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v09_03",no
"Fantastic Village Pack","buildings_modules","P_BLD_window_v09_04",no
"Fantastic Village Pack","environment","P_ENV_PLANT_grass_village",no
"Fantastic Village Pack","environment","P_ENV_PLANT_leaf_village",no
"Fantastic Village Pack","environment","P_ENV_TREE_village",no
"Fantastic Village Pack","light","Light_lantern",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v1_01",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v1_02",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v1_03",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v1_04",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v2_01",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v2_02",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v2_03",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v2_04",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v3_01",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v3_02",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v3_03",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v3_04",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v4_01",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v5_01",no
"Fantastic Village Pack","props","P_PROP_PLANT_pot_v6_01",no
"Fantastic Village Pack","props","P_PROP_barrel_01",no
"Fantastic Village Pack","props","P_PROP_barrel_02",no
"Fantastic Village Pack","props","P_PROP_barrel_03",no
"Fantastic Village Pack","props","P_PROP_barrel_04",no
"Fantastic Village Pack","props","P_PROP_barrel_05",no
"Fantastic Village Pack","props","P_PROP_barrel_06",no
"Fantastic Village Pack","props","P_PROP_barrel_07",no
"Fantastic Village Pack","props","P_PROP_barrel_08",no
"Fantastic Village Pack","props","P_PROP_basket_01",no
"Fantastic Village Pack","props","P_PROP_basket_02",no
"Fantastic Village Pack","props","P_PROP_basket_03",no
"Fantastic Village Pack","props","P_PROP_bench_01",no
"Fantastic Village Pack","props","P_PROP_bench_02",no
"Fantastic Village Pack","props","P_PROP_board_01",no
"Fantastic Village Pack","props","P_PROP_board_02",no
"Fantastic Village Pack","props","P_PROP_bottle_01",no
"Fantastic Village Pack","props","P_PROP_bottle_02",no
"Fantastic Village Pack","props","P_PROP_bottle_03",no
"Fantastic Village Pack","props","P_PROP_bottle_04",no
"Fantastic Village Pack","props","P_PROP_bottle_05",no
"Fantastic Village Pack","props","P_PROP_bottle_06",no
"Fantastic Village Pack","props","P_PROP_bottle_07",no
"Fantastic Village Pack","props","P_PROP_bottle_08",no
"Fantastic Village Pack","props","P_PROP_bottle_09",no
"Fantastic Village Pack","props","P_PROP_bowl_metal",no
"Fantastic Village Pack","props","P_PROP_bowl_wood_01",no
"Fantastic Village Pack","props","P_PROP_bowl_wood_02",no
"Fantastic Village Pack","props","P_PROP_bowl_wood_03",no
"Fantastic Village Pack","props","P_PROP_bowl_wood_04",no
"Fantastic Village Pack","props","P_PROP_bowl_wood_05",no
"Fantastic Village Pack","props","P_PROP_box_01",no
"Fantastic Village Pack","props","P_PROP_box_02",no
"Fantastic Village Pack","props","P_PROP_box_03",no
"Fantastic Village Pack","props","P_PROP_box_04",no
"Fantastic Village Pack","props","P_PROP_box_05",no
"Fantastic Village Pack","props","P_PROP_brazier_01",no
"Fantastic Village Pack","props","P_PROP_brazier_02",no
"Fantastic Village Pack","props","P_PROP_brazier_03",no
"Fantastic Village Pack","props","P_PROP_brazier_04",no
"Fantastic Village Pack","props","P_PROP_brazier_05",no
"Fantastic Village Pack","props","P_PROP_bridge_stone_01",no
"Fantastic Village Pack","props","P_PROP_bridge_wood_01",no
"Fantastic Village Pack","props","P_PROP_bridge_wood_02",no
"Fantastic Village Pack","props","P_PROP_bridge_wood_03",no
"Fantastic Village Pack","props","P_PROP_bridge_wood_04",no
"Fantastic Village Pack","props","P_PROP_bucket_01",no
"Fantastic Village Pack","props","P_PROP_bucket_02",no
"Fantastic Village Pack","props","P_PROP_bucket_03",no
"Fantastic Village Pack","props","P_PROP_bucket_04",no
"Fantastic Village Pack","props","P_PROP_campfire",no
"Fantastic Village Pack","props","P_PROP_campfire_poles",no
"Fantastic Village Pack","props","P_PROP_cart_01",no
"Fantastic Village Pack","props","P_PROP_cart_02",no
"Fantastic Village Pack","props","P_PROP_cart_03",no
"Fantastic Village Pack","props","P_PROP_cart_wheel_big",no
"Fantastic Village Pack","props","P_PROP_cart_wheel_small",no
