year,alive,aggPop,aggregates,villages,bearersAliveMin
1,5,0.0,0,0,
2,5,0.0,0,0,
3,5,0.0,0,0,
4,5,0.0,0,0,
5,5,0.0,0,0,
6,5,0.0,0,0,
7,6,0.0,0,0,
8,6,0.0,0,0,
9,6,0.0,0,0,
10,7,0.0,0,0,
11,8,0.0,0,0,
12,8,0.0,0,0,
13,8,0.0,0,0,
14,8,0.0,0,0,
15,8,0.0,0,0,
16,9,0.0,0,0,
17,9,0.0,0,0,
18,10,0.0,0,0,
19,10,0.0,0,0,
20,10,0.0,0,0,
21,11,0.0,0,0,
22,11,0.0,0,0,
23,12,0.0,0,0,
24,12,0.0,0,0,
25,12,0.0,0,0,
26,13,0.0,0,0,
27,14,0.0,0,0,
28,14,0.0,0,0,
29,15,0.0,0,0,
30,16,0.0,0,0,
31,17,0.0,0,1,
32,17,0.0,0,1,
33,17,0.0,0,1,
34,18,0.0,0,1,
35,18,0.0,0,1,
36,19,0.0,0,1,
37,19,0.0,0,2,
38,19,0.0,0,2,
39,19,0.0,0,2,
40,19,0.0,0,2,
41,19,0.0,0,2,
42,20,0.0,0,2,
43,21,0.0,0,2,
44,21,0.0,0,2,
45,22,0.0,0,2,
46,22,0.0,0,2,
47,22,0.0,0,2,
48,23,0.0,0,2,
49,23,0.0,0,2,
50,23,0.0,0,2,
51,23,0.0,0,2,
52,27,0.0,0,2,
53,26,0.0,0,2,
54,27,0.0,0,2,
55,28,0.0,0,2,
56,29,0.0,0,2,
57,29,0.0,0,2,
58,31,0.0,0,2,
59,33,0.0,0,2,
60,34,0.0,0,2,
61,35,0.0,0,2,
62,36,0.0,0,2,
63,38,0.0,0,2,
64,38,0.0,0,2,
65,39,0.0,0,2,
66,42,0.0,0,2,
67,43,0.0,0,2,
68,44,0.0,0,2,
69,46,0.0,0,2,
70,46,0.0,0,2,
71,48,0.0,0,2,
72,51,0.0,0,4,
73,52,0.0,0,4,
74,54,0.0,0,4,
75,56,0.0,0,4,
76,57,0.0,0,4,
77,59,0.0,0,4,
78,63,0.0,0,4,
79,65,0.0,0,4,
80,66,0.0,0,4,
81,71,0.0,0,4,
82,73,0.0,0,4,
83,74,0.0,0,4,
84,76,0.0,0,4,
85,80,0.0,0,4,
86,82,0.0,0,4,
87,84,0.0,0,4,
88,87,0.0,0,4,
89,89,0.0,0,4,
90,92,0.0,0,4,
91,93,0.0,0,4,
92,95,0.0,0,4,
93,97,0.0,0,4,
94,97,0.0,0,4,
95,102,0.0,0,4,
96,108,0.0,0,4,
97,112,0.0,0,4,
98,115,0.0,0,4,
99,121,0.0,0,4,
100,129,0.0,0,4,
101,131,0.0,0,4,
102,133,0.0,0,4,
103,139,0.0,0,4,
104,139,0.0,0,4,
105,137,0.0,0,4,
106,135,0.0,0,4,
107,136,0.0,0,4,
108,135,0.0,0,4,
109,135,0.0,0,4,
110,135,0.0,0,4,
111,135,0.0,0,4,
112,134,0.0,0,4,
113,134,0.0,0,4,
114,133,0.0,0,4,
115,132,0.0,0,4,
116,132,0.0,0,4,
117,132,0.0,0,4,
118,132,0.0,0,4,
119,131,0.0,0,4,
120,135,0.0,0,4,
121,134,0.0,0,4,
122,134,0.0,0,4,
123,134,0.0,0,4,
124,133,0.0,0,4,
125,132,0.0,0,4,
126,133,0.0,0,4,
127,151,0.0,0,4,
128,156,0.0,0,4,
129,155,0.0,0,4,
130,159,0.0,0,4,
131,159,0.0,0,4,
132,158,0.0,0,4,
133,155,0.0,0,4,
134,155,0.0,0,4,
135,154,0.0,0,5,
136,155,0.0,0,5,
137,155,0.0,0,6,
138,156,0.0,0,6,
139,155,0.0,0,6,
140,153,0.0,0,6,
141,153,0.0,0,6,
142,156,0.0,0,6,
143,156,0.0,0,6,
144,155,0.0,0,6,
145,152,0.0,0,6,
146,152,0.0,0,6,
147,150,0.0,0,6,
148,150,0.0,0,6,
149,149,0.0,0,6,
150,146,0.0,0,6,
151,138,0.0,0,6,
152,137,0.0,0,6,
153,137,0.0,0,6,
154,133,0.0,0,6,
155,131,0.0,0,6,
156,130,0.0,0,6,
157,127,0.0,0,6,
158,128,0.0,0,6,
159,129,0.0,0,6,
160,130,0.0,0,6,
161,128,0.0,0,6,
162,131,0.0,0,6,
163,132,0.0,0,6,
164,131,0.0,0,6,
165,134,0.0,0,6,
166,136,0.0,0,6,
167,136,0.0,0,6,
168,136,0.0,0,6,
169,139,0.0,0,6,
170,136,0.0,0,6,
171,139,0.0,0,6,
172,144,0.0,0,6,
173,144,0.0,0,6,
174,148,0.0,0,6,
175,155,0.0,0,6,
176,158,0.0,0,6,
177,158,0.0,0,6,
178,159,0.0,0,6,
179,159,0.0,0,6,
180,159,0.0,0,7,
181,154,0.0,0,7,
182,152,0.0,0,7,
183,149,0.0,0,7,
184,149,0.0,0,7,
185,147,0.0,0,7,
186,143,0.0,0,7,
187,142,0.0,0,7,
188,138,0.0,0,7,
189,137,0.0,0,7,
190,135,0.0,0,7,
191,134,0.0,0,7,
192,133,0.0,0,7,
193,132,0.0,0,7,
194,133,0.0,0,7,
195,133,0.0,0,7,
196,135,0.0,0,7,
197,136,0.0,0,7,
198,135,0.0,0,7,
199,148,0.0,0,7,
200,157,0.0,0,7,
201,161,0.0,0,7,
202,167,0.0,0,7,
203,176,0.0,0,7,
204,180,0.0,0,7,
205,181,0.0,0,7,
206,182,0.0,0,7,
207,133,52.7,1,7,15
208,133,50.8,1,7,15
209,135,50.9,1,7,15
210,132,51.1,1,7,15
211,135,51.2,1,7,15
212,137,50.6,1,7,15
213,139,50.8,1,7,15
214,140,50.9,1,7,15
215,140,51.1,1,7,15
216,139,51.4,1,7,14
217,144,50.8,1,7,15
218,144,50.2,1,7,15
219,145,50.5,1,7,15
220,145,50.7,1,7,15
221,147,50.0,1,7,15
222,147,50.3,1,7,15
223,145,50.5,1,7,14
224,149,48.9,1,7,15
225,151,49.1,1,7,15
226,150,49.4,1,7,15
227,151,47.7,1,7,14
228,151,46.9,1,7,15
229,152,45.0,1,7,14
230,153,43.9,1,7,15
231,151,43.9,1,7,15
232,153,44.0,1,7,15
233,151,44.1,1,7,15
234,152,44.3,1,7,15
235,149,44.5,1,7,15
236,146,44.6,1,7,15
237,141,44.9,1,7,15
238,140,44.2,1,7,15
239,138,44.5,1,7,15
240,136,44.8,1,7,15
241,135,44.1,1,7,15
242,132,43.4,1,7,15
243,132,43.7,1,7,15
244,132,42.8,1,7,15
245,128,42.9,1,7,14
246,128,42.2,1,7,15
247,128,42.4,1,7,15
248,126,42.7,1,7,14
249,130,42.0,1,7,15
250,130,42.2,1,7,15
251,131,42.4,1,7,15
252,131,42.7,1,7,15
253,133,43.0,1,7,15
254,131,43.3,1,7,15
255,128,43.6,1,7,14
256,131,42.0,1,7,15
257,132,42.2,1,7,15
258,133,42.5,1,7,15
259,134,42.7,1,7,15
260,132,42.0,1,7,15
261,133,41.2,1,7,15
262,132,41.4,1,7,15
263,132,41.6,1,7,15
264,132,40.8,1,7,15
265,132,41.0,1,7,15
266,132,41.2,1,7,15
267,132,41.5,1,7,15
268,132,41.7,1,7,15
269,131,42.0,1,7,15
270,131,42.4,1,7,15
271,128,42.7,1,7,15
272,126,43.1,1,7,15
273,120,43.5,1,7,15
274,117,43.9,1,7,15
275,114,43.4,1,7,15
276,111,43.8,1,7,15
277,110,42.3,1,7,15
278,107,41.7,1,7,15
279,107,41.0,1,7,15
280,105,41.3,1,7,15
281,105,41.5,1,7,15
282,104,40.9,1,7,15
283,105,41.2,1,7,15
284,108,39.6,1,7,15
285,109,39.8,1,7,15
286,109,40.0,1,7,15
287,109,40.3,1,7,14
288,110,39.7,1,7,15
289,112,39.0,1,7,15
290,115,38.2,1,7,15
291,116,38.4,1,7,15
292,118,38.6,1,7,15
293,119,38.8,1,7,15
294,121,39.1,1,7,15
295,118,37.4,1,7,15
296,118,37.6,1,7,15
297,121,37.9,1,7,15
298,125,38.2,1,7,15
299,125,38.5,1,7,15
300,124,38.9,1,7,15
301,128,39.2,1,7,15
302,129,38.6,1,7,15
303,132,38.9,1,7,15
304,136,39.2,1,7,15
305,137,39.5,1,7,15
306,140,39.9,1,7,14
307,143,39.3,1,7,15
308,146,39.5,1,7,15
309,144,39.8,1,7,15
310,150,40.2,1,7,15
311,152,39.6,1,7,15
312,155,39.9,1,7,15
313,162,40.1,1,7,15
314,163,40.4,1,7,15
315,170,39.7,1,7,15
316,174,40.0,1,7,15
317,176,40.2,1,7,15
318,181,40.5,1,7,15
319,185,38.8,1,7,15
320,184,39.0,1,7,14
321,230,0.0,0,7,
322,161,67.5,1,7,15
323,160,68.4,1,7,15
324,159,69.4,1,7,15
325,158,70.2,1,7,15
326,156,71.2,1,7,15
327,155,72.2,1,7,15
328,153,72.3,1,7,15
329,151,71.3,1,7,14
330,151,71.3,1,7,14
331,151,70.1,1,7,14
332,150,68.8,1,7,15
333,147,69.5,1,7,14
334,146,69.2,1,7,15
335,145,69.8,1,7,15
336,144,69.4,1,7,15
337,144,69.1,1,7,15
338,142,69.7,1,7,15
339,140,69.3,1,7,15
340,139,69.9,1,7,15
341,137,70.5,1,7,15
342,134,70.2,1,7,15
343,133,70.8,1,7,15
344,132,71.3,1,7,15
345,131,72.0,1,7,15
346,130,72.7,1,7,15
347,130,73.3,1,7,15
348,126,73.0,1,7,14
349,123,72.6,1,7,15
350,120,73.1,1,7,14
351,121,71.7,1,7,15
352,122,72.1,1,7,15
353,121,72.5,1,7,15
354,121,73.0,1,7,15
355,123,73.4,1,7,15
356,121,73.9,1,7,15
357,120,74.4,1,7,15
358,123,73.9,1,7,15
359,121,74.3,1,7,15
360,120,74.8,1,7,15
361,120,75.3,1,7,15
362,119,75.7,1,7,15
363,120,76.2,1,7,15
364,119,76.7,1,7,15
365,120,77.1,1,7,15
366,119,76.7,1,7,15
367,117,77.2,1,7,15
368,112,77.8,1,7,15
369,111,78.3,1,7,15
370,111,78.8,1,7,15
371,111,79.3,1,7,15
372,107,79.9,1,7,15
373,103,79.4,1,7,15
374,104,79.8,1,7,15
375,102,80.2,1,7,15
376,98,79.7,1,7,15
377,96,80.1,1,7,15
378,92,79.6,1,7,15
379,89,79.2,1,7,15
380,86,78.7,1,7,15
381,85,78.1,1,7,15
382,89,78.5,1,7,15
383,86,78.8,1,7,15
384,85,78.3,1,7,14
385,86,77.7,1,7,15
386,80,77.1,1,7,15
387,83,77.4,1,7,15
388,84,77.8,1,7,15
389,85,78.2,1,7,15
390,87,78.5,1,7,15
391,88,79.0,1,7,15
392,90,78.4,1,7,15
393,96,78.8,1,7,15
394,98,79.1,1,7,15
395,98,78.5,1,7,15
396,102,78.0,1,7,15
397,106,78.3,1,7,15
398,107,78.6,1,7,15
399,107,79.0,1,7,15
400,106,79.5,1,7,15
401,104,80.1,1,7,15
402,104,80.6,1,7,15
403,102,80.0,1,7,15
404,102,80.5,1,7,15
405,101,80.9,1,7,15
406,101,80.3,1,7,15
407,101,79.7,1,7,15
408,101,80.1,1,7,15
409,101,80.4,1,7,15
410,101,80.8,1,7,15
411,101,80.2,1,7,15
412,101,80.6,1,7,15
413,101,81.0,1,7,15
414,100,81.4,1,7,15
415,116,81.7,1,7,15
416,120,82.0,1,7,15
417,123,82.2,1,7,15
418,122,81.4,1,7,15
419,122,81.7,1,7,15
420,121,81.9,1,7,14
421,122,81.2,1,7,15
422,121,81.5,1,7,15
423,122,81.8,1,7,15
424,121,82.0,1,7,15
425,120,82.3,1,7,15
426,122,81.7,1,7,15
427,123,81.9,1,7,15
428,124,82.2,1,7,15
429,123,82.5,1,7,15
430,125,82.8,1,7,15
431,124,82.2,1,7,15
432,125,80.5,1,7,15
433,123,80.7,1,7,15
434,122,81.0,1,7,15
435,121,81.3,1,7,15
436,117,80.6,1,7,14
437,117,78.9,1,7,15
438,117,79.1,1,7,15
439,117,79.4,1,7,15
440,115,79.6,1,7,15
441,113,79.9,1,7,15
442,111,78.3,1,7,15
443,110,78.5,1,7,15
444,109,77.8,1,7,15
445,109,78.0,1,7,15
446,106,77.3,1,7,15
447,105,77.6,1,7,14
448,104,76.9,1,7,15
449,101,76.2,1,7,15
450,101,76.5,1,7,15
451,106,76.7,1,7,15
452,108,76.9,1,7,15
453,107,77.2,1,7,15
454,106,75.5,1,7,15
455,113,75.7,1,7,15
456,115,75.8,1,7,15
457,114,76.0,1,7,15
458,118,76.2,1,7,15
459,123,76.4,1,7,15
460,124,76.7,1,7,15
461,123,76.8,1,7,14
462,126,76.0,1,7,15
463,129,76.0,1,7,15
464,131,76.0,1,7,15
465,130,76.1,1,7,15
466,131,76.4,1,7,15
467,130,76.5,1,7,15
468,127,76.7,1,7,15
469,128,76.9,1,7,15
470,128,77.2,1,7,15
471,125,77.4,1,7,15
472,126,77.6,1,7,15
473,131,77.0,1,7,15
474,133,75.3,1,7,15
475,134,75.5,1,7,15
476,137,74.7,1,7,15
477,136,74.9,1,7,15
478,137,75.1,1,7,15
479,141,75.4,1,7,15
480,145,74.6,1,7,15
481,152,73.8,1,7,15
482,154,74.0,1,7,15
483,154,73.1,1,7,15
484,160,72.2,1,7,15
485,165,72.4,1,7,15
486,166,71.5,1,7,14
487,166,70.7,1,7,15
488,164,70.8,1,7,15
489,163,71.0,1,7,15
490,162,71.2,1,7,15
491,160,71.5,1,7,15
492,159,71.6,1,7,15
493,158,70.9,1,7,15
494,157,70.1,1,7,15
495,154,70.2,1,7,15
496,154,70.5,1,7,15
497,154,69.7,1,7,15
498,153,69.9,1,7,15
499,152,70.1,1,7,15
500,150,70.3,1,7,15
501,148,70.6,1,7,15
502,145,69.9,1,7,15
503,143,69.1,1,7,15
504,143,69.4,1,7,15
505,141,69.6,1,7,15
506,141,69.9,1,7,15
507,141,70.2,1,7,15
508,141,70.5,1,7,15
509,141,70.8,1,7,15
510,140,71.2,1,7,15
511,140,70.5,1,7,15
512,139,70.9,1,7,14
513,139,69.2,1,7,15
514,137,69.5,1,7,15
515,133,68.8,1,7,15
516,133,69.1,1,7,15
517,131,69.4,1,7,15
518,130,69.7,1,7,15
519,129,69.1,1,7,15
520,125,69.4,1,7,15
521,122,69.8,1,7,15
522,122,70.2,1,7,15
523,120,70.6,1,7,15
524,118,71.0,1,7,15
525,113,71.4,1,7,15
526,110,69.9,1,7,15
527,105,70.3,1,7,15
528,102,70.7,1,7,15
529,101,71.2,1,7,15
530,102,71.7,1,7,15
531,103,72.2,1,7,15
532,100,72.7,1,7,15
533,97,73.2,1,7,15
534,97,73.7,1,7,15
535,94,73.3,1,7,15
536,91,71.8,1,7,15
537,90,70.3,1,7,15
538,86,69.6,1,7,15
539,84,70.0,1,7,15
540,81,68.4,1,7,15
541,74,68.7,1,7,15
542,73,69.1,1,7,15
543,70,69.6,1,7,15
544,66,70.0,1,7,15
545,61,70.6,1,7,15
546,60,70.1,1,7,15
547,59,70.6,1,7,15
548,63,71.1,1,7,15
549,63,71.7,1,7,15
550,62,72.3,1,7,15
551,61,72.9,1,7,15
552,61,73.6,1,7,15
553,58,74.3,1,7,15
554,59,75.0,1,7,15
555,58,74.7,1,7,15
556,59,74.2,1,7,15
557,60,74.8,1,7,15
558,58,75.4,1,7,15
559,60,76.0,1,7,15
560,60,75.6,1,7,15
561,62,75.2,1,7,15
562,61,75.6,1,7,15
563,59,76.2,1,7,15
564,59,74.8,1,7,15
565,62,75.3,1,7,15
566,63,75.7,1,7,15
567,65,75.2,1,7,15
568,68,75.7,1,7,15
569,68,76.2,1,7,15
570,69,76.8,1,7,15
571,73,76.3,1,7,15
572,76,76.7,1,7,15
573,77,77.3,1,7,15
574,81,77.9,1,7,15
575,84,77.4,1,7,15
576,85,77.9,1,7,15
577,91,78.4,1,7,15
578,95,78.8,1,7,15
579,98,79.3,1,7,15
580,105,79.8,1,7,15
581,106,78.2,1,7,15
582,109,78.5,1,7,15
583,110,77.9,1,7,15
584,110,77.3,1,7,15
585,110,77.6,1,7,15
