# pop-probe 2323 x 1200y on v18 d02bb1ee (A-arm, DJUPTID-OVERLEVNAD D-659) — every 20 years; cloud run 2026-09-01 16:42–18:20Z
year,alive,aggPop,aggregates,villages,fields
20,9,0.0,0,0,7
40,16,0.0,0,1,13
60,26,0.0,0,3,22
80,36,0.0,0,4,37
100,59,0.0,0,4,54
120,61,0.0,0,4,59
140,60,0.0,0,4,59
160,74,0.0,0,5,59
180,77,0.0,0,5,59
200,75,0.0,0,5,59
220,78,0.0,0,5,59
240,75,0.0,0,5,59
260,76,0.0,0,5,59
280,69,0.0,0,5,59
300,72,0.0,0,5,59
320,74,0.0,0,6,59
340,73,8.0,1,6,59
360,71,0.0,0,6,59
380,71,0.0,0,6,59
400,68,13.0,1,6,59
420,78,0.0,0,7,59
440,75,0.0,0,7,59
460,77,0.0,0,7,59
480,78,0.0,0,8,59
500,78,0.0,0,8,59
520,76,5.0,1,8,59
540,75,8.0,1,8,59
560,76,0.0,0,8,59
580,76,0.0,0,8,59
600,79,4.0,1,8,59
620,74,0.0,0,8,59
640,71,0.0,0,8,59
660,79,4.0,2,8,59
680,73,8.0,1,8,59
700,76,0.0,0,8,59
720,78,0.0,0,8,59
740,79,6.0,3,8,59
760,77,0.0,0,8,59
780,78,5.0,1,8,59
800,79,4.0,2,8,59
820,80,0.0,0,8,59
840,76,0.0,0,8,59
860,77,6.0,2,8,59
880,79,4.0,1,8,59
900,80,0.0,0,8,59
920,77,4.0,1,8,59
940,79,3.0,1,8,59
960,77,6.0,1,8,59
980,71,0.0,0,8,59
1000,75,0.0,0,8,59
1020,76,0.0,0,8,59
1040,78,0.0,0,8,59
1060,80,4.0,1,8,59
1080,80,0.0,0,8,59
1100,81,3.0,1,8,59
1120,78,0.0,0,8,59
1140,73,0.0,0,8,59
1160,78,3.0,1,8,59
1180,78,4.0,2,8,59
1200,79,0.0,0,8,59
# END year=1200 ended=false aggregates=[]
# 344 of 1200 years had >=1 aggregate; max aggPop 20; max alive 85. v18 = a population governor by deletion: POPCAP-fallback folds 3–20 souls, de-fold deletes them (D-663); individuals hold ~75–80 for a millennium.
