# pop-probe 2323 x 1200y on v20 f39e0684 (B-arm, DJUPTID-OVERLEVNAD prereg D-659) — sampled every 20 years; full csv in cloud run 2026-09-01 14:11–15:30Z
year,alive,aggPop,aggregates,villages,fields
20,9,0.0,0,0,7
40,16,0.0,0,1,13
60,26,0.0,0,3,22
80,36,0.0,0,4,37
100,59,0.0,0,4,54
120,101,0.0,0,4,59
140,83,63.5,1,4,59
160,76,82.8,1,5,59
180,50,91.0,1,5,59
200,43,96.9,1,5,59
220,32,99.3,1,5,59
240,42,100.1,1,5,59
260,49,100.8,1,5,59
280,58,107.6,1,5,59
300,78,113.2,1,5,59
320,106,116.0,1,5,59
340,138,115.6,1,5,59
360,139,114.8,1,5,59
380,140,114.1,1,5,59
400,127,114.4,1,5,59
420,106,118.0,1,5,59
440,89,121.1,1,5,59
460,78,123.8,1,5,59
480,88,124.4,1,5,59
500,117,122.2,1,5,59
520,99,121.1,1,5,59
540,116,122.9,1,5,59
560,71,189.2,2,5,59
580,80,209.0,2,5,59
600,58,227.0,2,5,59
620,38,245.2,2,5,59
640,15,258.2,2,5,59
660,1,234.8,2,5,59
661,0,234.8,2,5,59
# END year=661 ended=true aggregates=[{"v":"Runestead","c":[37.5,51.4,29.3,8],"bearers":15},{"v":"Ronjastead","c":[32.5,43.8,25.2,7.1],"bearers":15}]
# tail 640-661: alive 15,15,14,14,12,12,11,10,8,6,6,5,5,3,2,1,1,1,1,1,1,0 while aggPop 258->235 — the individual layer drains into two stable cities; "The last human is gone" fires with ~235 souls-eq alive in cohorts.
