# pop-probe 31415 x 1200y on v18 d02bb1ee (A-arm, DJUPTID-OVERLEVNAD D-659) — every 40 years; cloud run 2026-09-01 18:2x–20:21Z
year,alive,aggPop,aggregates
40,14,0.0,0
80,42,0.0,0
120,77,0.0,0
160,70,12.0,1
200,70,11.0,1
240,68,14.0,1
280,80,0.0,0
320,75,0.0,0
360,76,0.0,0
400,64,0.0,0
440,73,0.0,0
480,69,0.0,0
520,71,0.0,0
560,78,0.0,0
600,76,0.0,0
640,78,5.0,1
680,85,2.0,2
720,82,4.0,1
760,71,10.0,2
800,80,7.0,1
840,76,0.0,0
880,80,0.0,0
920,78,0.0,0
960,84,3.0,3
1000,86,1.0,1
1040,80,3.0,1
1080,84,4.0,2
1120,80,6.0,1
1160,78,0.0,0
1200,84,1.0,1
# END year=1200 ended=false aggregates=[{"v":"Ormvik","c":[1,0,0,0],"bearers":15}]
# 491 of 1200 years had >=1 aggregate (max 14 souls) — same governor-by-deletion shape as A-2323; alive holds ~70-86.
