# pop-probe 31415 x 1200y on v20 f39e0684 (B-arm, DJUPTID-OVERLEVNAD D-659) — every 20 years; cloud run 2026-09-01 16:42–18:12Z
year,alive,aggPop,aggregates,villages,fields
20,8,0.0,0,0,8
40,14,0.0,0,0,13
60,25,0.0,0,0,24
80,42,0.0,0,0,41
100,73,0.0,0,2,60
120,125,0.0,0,3,60
140,74,73.8,1,3,60
160,47,87.7,1,3,60
180,33,96.8,1,3,60
200,28,103.4,1,3,60
220,45,103.7,1,3,60
240,34,100.3,1,3,60
260,48,100.5,1,3,60
280,42,104.5,1,3,60
300,71,112.7,1,3,60
320,110,113.5,1,3,60
340,113,112.6,1,3,60
360,79,114.8,1,3,60
380,69,118.3,1,4,60
400,65,122.7,1,4,60
420,112,121.0,1,4,60
440,126,117.5,1,4,60
460,99,117.3,1,4,60
480,79,118.3,1,4,60
500,61,123.1,1,4,60
520,87,123.9,1,4,60
540,135,120.9,1,4,60
560,107,119.2,1,4,60
580,78,120.0,1,4,60
600,45,124.3,1,4,60
620,36,130.0,1,4,60
640,70,133.1,1,4,60
660,128,131.8,1,4,60
680,130,126.9,1,4,60
700,86,188.1,2,4,60
720,75,203.3,2,4,60
740,74,219.1,2,4,60
760,90,229.1,2,4,60
780,57,243.9,2,4,60
800,39,258.0,2,4,60
820,15,265.5,2,4,60
836,0,249.6,2,4,60
# END year=836 ended=true aggregates=[{"v":"Emblavik","c":[34.2,46.8,27.2,7.4],"bearers":15},{"v":"Disaheim","c":[40.8,53.8,30.3,9],"bearers":15}]
# tail 800-836: alive 39,39,38,35,33,32,31,31,30,30,28,25,25,23,22,21,20,19,19,16,15,13,11,10,9,8,8,6,6,5,4,4,4,4,2,2,0 — STOPPAD-MED-STAD (Metodnot 1), same shape as 2323: second fold (~y690) then the individual layer drains in ~140 years.
